ham spam 
ham 111342 100
spam 206557 100
14705
200 
MOUSEUP 0 1 
resins 0 1 
advocacy 1 0 
workers@spamassassin 19 0 
Enclose 0 1 
SuccessMark 0 2 
IncrediMail 0 2 
PSIjMDAwMDAwIiBzaXplPSIyIiBzdHlsZT 0 1 
Click 0 44 
ECTQGOIA 1 0 
Dright 0 6 
RDRoO 1 0 
& 42 151 
milexc 12 0 
$ 23 441 
% 13 598 
answer 5 23 
possibly 2 2 
Written 0 2 
DMortgage 0 1 
Team 0 4 
Toolbar 0 16 
GET 0 13 
donnacha 2 0 
Mimetrack 1 3 
afirst 0 1 
payments 0 4 
prolificate 0 1 
compatibility 1 0 
D 115 2379 
E 70 304 
F 89 138 
G 7 13 
qLnRh 0 1 
@ 6 14 
Oceanside 0 1 
A 112 665 
B 72 625 
C 159 245 
L 20 258 
kIG 0 1 
M 22 28 
N 7 55 
O 30 22 
H 4 17 
I 405 556 
J 11 67 
drawing 0 8 
K 8 26 
U 6 123 
T 6 32 
W 14 23 
V 22 49 
Q 1 34 
P 34 77 
times 2 6 
S 6 59 
R 15 73 
Maher 1 0 
] 762 280 
\ 20 4 
pagesalthough 0 1 
^ 0 1 
Y 8 51 
X 523 188 
[ 738 262 
vadty 0 1 
Z 2 24 
f 32 38 
Lycii 0 1 
g 215 37 
d 48 224 
Feb 0 1 
e 44 125 
b 40 667 
CONSULTATION 0 1 
c 72 146 
Fed 0 1 
confused 2 0 
Fee 0 2 
` 5 3 
a 610 1902 
n 2 59 
RUlHSFQ 0 2 
o 3 37 
l 4 84 
astounded 0 1 
m 69 45 
cutting 0 1 
j 1 13 
Options 0 1 
k 12 17 
h 6 67 
i 192 343 
w 7 41 
duVGFsazwvQT 0 1 
v 20 58 
u 0 39 
t 137 206 
ICAgPHRkIHdpZHRoPSIxMDAlIiBj 0 1 
s 169 327 
r 8 17 
Longer 0 2 
q 4 5 
confuses 0 2 
p 17 946 
~ 3 25 
Few 0 1 
} 5 32 
| 150 0 
{ 6 32 
z 1 11 
