ham spam 
ham 111295 100
spam 189544 100
14246
200 
MOUSEUP 0 2 
resins 0 1 
advocacy 2 0 
workers@spamassassin 23 0 
Enclose 0 1 
SuccessMark 0 2 
IncrediMail 0 2 
PSIjMDAwMDAwIiBzaXplPSIyIiBzdHlsZT 0 1 
Click 0 43 
ECTQGOIA 1 0 
Dright 0 6 
RDRoO 1 0 
& 39 156 
milexc 12 0 
$ 18 423 
% 9 885 
possibly 2 2 
Written 0 2 
answer 5 22 
DMortgage 0 1 
Team 0 4 
GET 0 10 
donnacha 2 0 
Mimetrack 1 2 
payments 1 6 
prolificate 0 1 
compatibility 1 0 
D 109 1924 
E 64 268 
F 84 139 
G 4 17 
@ 6 19 
qLnRh 0 1 
Oceanside 0 1 
A 112 664 
B 72 630 
C 152 221 
L 20 260 
kIG 0 1 
M 20 24 
N 11 53 
O 27 29 
H 4 19 
I 455 588 
drawing 0 8 
J 10 66 
K 6 27 
U 6 122 
T 5 27 
W 14 23 
V 23 50 
Q 0 34 
times 1 7 
P 38 84 
S 6 66 
R 15 82 
Maher 1 0 
] 760 272 
\ 10 4 
^ 0 2 
Y 10 51 
X 534 187 
[ 738 252 
Z 2 26 
vadty 0 1 
Lycii 0 1 
f 26 42 
g 213 35 
d 47 219 
e 42 114 
Feb 0 2 
b 39 552 
c 68 143 
CONSULTATION 0 1 
` 5 3 
confused 1 0 
a 611 1986 
n 2 68 
o 4 34 
RUlHSFQ 0 2 
l 2 82 
astounded 0 1 
cutting 0 1 
m 75 41 
j 1 13 
k 12 14 
h 8 66 
i 186 294 
w 5 41 
v 23 59 
duVGFsazwvQT 0 1 
u 1 37 
t 134 198 
ICAgPHRkIHdpZHRoPSIxMDAlIiBj 0 1 
s 162 327 
r 7 10 
Longer 0 2 
q 4 4 
confuses 0 2 
p 17 964 
Few 0 1 
~ 3 114 
} 5 47 
| 98 2 
{ 7 47 
z 1 11 
y 3 28 
x 14 44 
dGQgQ 0 1 
basis 1 18 
